,power_power_plant,total_modules,modules_amount,tables_display,comprimento_mesa,largura_mesa,tables_amount,cobre_nu,haste,elcectodes_connector,foundation_connector,splitbolt
654,1059.48,1962,[327.0],[6],124362.0,65782.0,6.0,641.012,38.0,38.0,36.0,38.0
655,1061.1,1965,"[243, 246]","[1.0, 7.0]",93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
656,1062.72,1968,[246.0],[8],93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
657,1064.34,1971,"[246, 249]","[7.0, 1.0]",94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
658,1065.96,1974,[282.0],[7],107247.0,77579.0,7.0,705.393,41.0,41.0,38.0,41.0
659,1067.58,1977,"[246, 249]","[5.0, 3.0]",94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
660,1069.2,1980,[330.0],[6],125503.0,65782.0,6.0,645.576,38.0,38.0,36.0,38.0
661,1070.82,1983,"[246, 249]","[3.0, 5.0]",94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
662,1072.44,1986,"[246, 249]","[2.0, 6.0]",94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
663,1074.06,1989,"[246, 249]","[1.0, 7.0]",94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
664,1075.68,1992,[249.0],[8],94696.0,89376.0,8.0,666.232,38.0,38.0,35.0,38.0
665,1077.3,1995,[285.0],[7],108388.0,77579.0,7.0,711.098,41.0,41.0,38.0,41.0
666,1078.92,1998,[333.0],[6],126644.0,65782.0,6.0,650.14,38.0,38.0,36.0,38.0
667,1080.54,2001,"[249, 252]","[5.0, 3.0]",95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
668,1082.16,2004,"[249, 252]","[4.0, 4.0]",95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
669,1083.78,2007,"[249, 252]","[3.0, 5.0]",95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
670,1085.4,2010,"[249, 252]","[2.0, 6.0]",95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
671,1087.02,2013,"[249, 252]","[1.0, 7.0]",95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
672,1088.64,2016,[252.0],[8],95837.0,89376.0,8.0,671.937,38.0,38.0,35.0,38.0
673,1090.26,2019,"[252, 255]","[7.0, 1.0]",96978.0,89376.0,8.0,677.642,38.0,38.0,35.0,38.0
674,1091.88,2022,"[252, 255]","[6.0, 2.0]",96978.0,89376.0,8.0,677.642,38.0,38.0,35.0,38.0
675,1093.5,2025,"[252, 255]","[5.0, 3.0]",96978.0,89376.0,8.0,677.642,38.0,38.0,35.0,38.0
676,1095.12,2028,"[252, 255]","[4.0, 4.0]",96978.0,89376.0,8.0,677.642,38.0,38.0,35.0,38.0
677,1096.74,2031,"[252, 255]","[3.0, 5.0]",96978.0,89376.0,8.0,677.642,38.0,38.0,35.0,38.0
678,1098.36,2034,[339.0],[6],128926.0,65782.0,6.0,659.268,38.0,38.0,36.0,38.0
